date,leave.at,time.total,home.exit,time.to.from.16,time.16,time.16.to.from.270,time.270,through.bethesda,afternoon,day,construction,accident,weather,month,notes
9/20/18,8:10,78,Main,7,14,8,38,0,0,Thursday,1,0,clear,9,
9/20/18,15:23,76,,14,9,18,35,1,1,Thursday,0,0,clear,9,
9/24/18,8:29,69,Main,7,15,10,37,0,0,Monday,0,0,light rain,9,
9/24/18,16:39,80,,11,10,19,39,1,1,Monday,0,0,light rain,9,
9/25/18,8:09,75,Main,6,15,15,39,0,0,Tuesday,0,0,light rain,9,
9/25/18,2:49,114,,11,8,17,79,1,1,Tuesday,0,1,clear,9,
9/26/18,8:29,79,Top,10,15,11,33,0,0,Wednesday,0,0,clear,9,
9/26/18,16:49,96,,10,10,37,38,1,1,Wednesday,0,0,clear,9,
9/27/18,7:58,76,Main,11,16,13,36,0,0,Thursday,0,0,clear,9,
9/27/18,15:44,79,,9,10,23,38,1,1,Thursday,0,0,heavy rain,9,
10/1/18,8:30,69,Top,10,14,9,36,0,0,Monday,0,0,clear,10,
10/1/18,16:33,75,,10,9,19,38,1,1,Monday,0,0,clear,10,
10/2/18,7:44,76,Main,12,18,9,37,1,0,Tuesday,0,0,clear,10,car appointment
10/2/18,15:38,76,,10,8,26,32,1,1,Tuesday,0,0,clear,10,
10/3/18,8:20,75,Irving,13,17,10,36,0,0,Wednesday,0,0,clear,10,Spring Rd
10/3/18,16:36,82,,10,14,32,27,0,1,Wednesday,0,1,clear,10,370
10/4/18,8:19,73,Top,11,17,11,36,0,0,Thursday,0,0,clear,10,
10/4/18,15:31,75,,11,10,21,34,1,1,Thursday,0,0,clear,10,
10/5/18,10:10,58,Main,4,12,8,33,0,0,Friday,0,0,clear,10,
10/5/18,17:15,72,,12,9,15,36,1,1,Friday,0,0,clear,10,
10/8/18,8:35,60,Top,5,14,8,34,0,0,Monday,0,0,clear,10,holiday
10/8/18,17:24,64,,12,7,11,34,1,1,Monday,0,0,clear,10,holiday
10/9/18,8:21,73,Top,8,17,15,33,0,0,Tuesday,0,0,light rain,10,
